,Year,Film,Songs in each movie,Composer,Note
118,2024,The Greatest of All Time,1,Yuvan Shankar Raja,
119,2024,Game Changer (Tamil),2,Thaman S,Also Tamil dialogues and screenplay along with S. Shankar
120,2024,Amaran,1,G.V. Prakash Kumar,
121,2024,Bloody Beggar,1,Jen Martin,Co-wrote lyrics with Vishnu Edavan
122,2024,Kadhalikka Neramillai,1,A. R. Rahman,
,,,,,
123,2025,Nilavuku En Mel Ennadi Kobam,5,G.V. Prakash Kumar,
124,2025,Retro,4,Santhosh Narayanan,
125,2025,Maaman,5,Hesham Abdul Wahab,"All songs except ""Vizhuthe Thalavizhuthe"""
126,2025,3BHK,1,Amrit Ramnath,
127,2025,Thanal,1,Justin Prabhakaran,
128,2025,Dude,1,Sai Abhyankkar,
129,2025,Mark,1,B. Ajaneesh Loknath,Tamil version
,,,,,
130,2026,Karuppu,1,Sai Abhyankkar,
131,2026,Jana Nayagan,5,Anirudh Ravichander,
132,2026,Peddi,2,A. R. Rahman,
133,2026,TVK Songs,3,Arivu / Thaman,
134,2026,Sithira Puthiri,1,Sai Abhyankkar,
135,2026,Pavazha Malli,1,Sai Abhyankkar,
,,,,,
,,Total songs written,268,,
