Year,படம்,பாடல்,இசையமைப்பாளர்,Note
2018,இரும்பு திரை,Mudhal Mazhai,யுவன் சங்கர் ராஜா,
,,,,
2018,Kolamavu Kokila,Edhuvaraiyo,அனிருத் ரவிச்சந்தர்,
2018,ப்யார் ப்ரேமா காதல்,Hold Me Now,யுவன் சங்கர் ராஜா,
2018,60 Vayadu Maaniram,Naalum Naalum,Ilaiyaraaja,
,,,,
2018,Pariyerum Perumal,Karuppi,சந்தோஷ் நாராயணன்,
2018,Pariyerum Perumal,Potta Kaatil Poovasam,சந்தோஷ் நாராயணன்,
2018,Pariyerum Perumal,Vaa Rayil Vida Polaama,சந்தோஷ் நாராயணன்,
,,,,
2018,Kaali,Arumbey Arumbey,விஜய் ஆண்டனி ,
,,,,
2018,Vada Chennai,Ennadi Maayavi Nee,சந்தோஷ் நாராயணன்,
2018,Vada Chennai,Kaarkuzhal Kadavaiye,சந்தோஷ் நாராயணன்,
,,,,
2019,Petta,Marana Mass,அனிருத் ரவிச்சந்தர்,
2019,Petta,Ullaallaa,அனிருத் ரவிச்சந்தர்,
2019,Petta,Petta Paraak,அனிருத் ரவிச்சந்தர்,
,,,,
2019,Dev,Dai Machan Dev,Harris Jayaraj,
,,,,
2019,Boomerang,Mughaiyazhi,Radhan,
2019,Boomerang,Desame,Radhan,
2019,Boomerang,Mughaiyazhi (Instrumental Version),Radhan,
,,,,
2019,Devarattam,Pasampukalli,Nivas K. Prasanna,
2019,Devarattam,Lesa Lesa,Nivas K. Prasanna,
,,,,
2019,Oththa Seruppu Size 7,Kulirudha Pulla,சந்தோஷ் நாராயணன்,
2019,Jackpot,Shero Shero,விஷால் சந்திரசேகர்,
2019,Ayogya,Kanne Kanne,சாம் சி.எஸ்.,
2019,Sindhubaadh,Nenja Unakaga,யுவன் சங்கர் ராஜா,
,,,,
2019,பிகில்,Singappenney,ஏ. ஆர். ரஹ்மான்,Best Lyrics Writer - South Indian International Movie Awards 2021
2019,பிகில்,Verithanam,ஏ. ஆர். ரஹ்மான்,
2019,பிகில்,Unakaga,ஏ. ஆர். ரஹ்மான்,
2019,பிகில்,Maathare,ஏ. ஆர். ரஹ்மான்,
2019,பிகில்,Kaalame,ஏ. ஆர். ரஹ்மான்,
2019,பிகில்,Idhurkuthaan,ஏ. ஆர். ரஹ்மான்,
,,,,
2019,Frozen 2 (Tamil),Vaadai Serum,Robert Lopez Kristen Anderson-Lopez,
2019,Frozen 2 (Tamil),Siladhu,Robert Lopez Kristen Anderson-Lopez,
2019,Frozen 2 (Tamil),Izhukkum Maayoll,Robert Lopez Kristen Anderson-Lopez,
