Year,Song Count,Film,Song,Composer,Note
2018,89,Pariyerum Perumal,Vaa Rayil Vida Polaama,Santhosh Narayanan,
, ,,,,
2018,90,Kaali,Arumbey Arumbey,Vijay Antony,
, ,,,,
2018,91,Vada Chennai,Ennadi Maayavi Nee,Santhosh Narayanan,
2018,92,Vada Chennai,Kaarkuzhal Kadavaiye,Santhosh Narayanan,
, ,,,,
2019,93,Petta,Marana Mass,Anirudh Ravichander,
2019,94,Petta,Ullaallaa,Anirudh Ravichander,
2019,95,Petta,Petta Paraak,Anirudh Ravichander,
, ,,,,
2019,96,Dev,Dai Machan Dev,Harris Jayaraj,
, ,,,,
2019,97,Boomerang,Mughaiyazhi,Radhan,
2019,98,Boomerang,Desame,Radhan,
2019,99,Boomerang,Mughaiyazhi (Instrumental Version),Radhan,
, ,,,,
2019,100,Devarattam,Pasampukalli,Nivas K. Prasanna,
2019,101,Devarattam,Lesa Lesa,Nivas K. Prasanna,
, ,,,,
2019,102,Oththa Seruppu Size 7,Kulirudha Pulla,Santhosh Narayanan,
2019,103,Jackpot,Shero Shero,Vishal Chandrasekhar,
2019,104,Ayogya,Kanne Kanne,Sam C.S.,
2019,105,Sindhubaadh,Nenja Unakaga,Yuvan Shankar Raja,
, ,,,,
2019,106,Bigil,Singappenney,A. R. Rahman,Best Lyrics Writer - South Indian International Movie Awards 2021
2019,107,Bigil,Verithanam,A. R. Rahman,
2019,108,Bigil,Unakaga,A. R. Rahman,
2019,109,Bigil,Maathare,A. R. Rahman,
2019,110,Bigil,Kaalame,A. R. Rahman,
2019,111,Bigil,Idhurkuthaan,A. R. Rahman,
, ,,,,
2019,112,Frozen 2 (Tamil),Vaadai Serum,Robert Lopez Kristen Anderson-Lopez,
2019,113,Frozen 2 (Tamil),Siladhu,Robert Lopez Kristen Anderson-Lopez,
2019,114,Frozen 2 (Tamil),Izhukkum Maayoll,Robert Lopez Kristen Anderson-Lopez,
2019,115,Frozen 2 (Tamil),Nadu Kattukkul Naan,Robert Lopez Kristen Anderson-Lopez,
2019,116,Frozen 2 (Tamil),Thondru Nee,Robert Lopez Kristen Anderson-Lopez,
2019,117,Frozen 2 (Tamil),Naatkal Oda,Robert Lopez Kristen Anderson-Lopez,
2019,118,Frozen 2 (Tamil),Seiven Sariyanathai,Robert Lopez Kristen Anderson-Lopez,
, ,,,,
2019,119,Adithya Varma,Yaarumillaa,Radhan,
2019,120,Thambi,Thalattu Naal,Govind Vasantha,
, ,,,,
